H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-14.3188;12.8169;
0.055;0.0;0.0;0.0;-14.3188;12.8169;
0.11;0.0;0.0;0.0;-14.3188;12.8169;
0.165;0.0;0.0;0.0;-14.3188;12.8169;
0.22;0.0;0.0;0.0;-14.3188;12.8169;
0.275;0.0;0.0;0.0;-14.3188;12.8169;
0.33;0.0;0.0;0.0;-14.3188;12.8169;
0.385;0.0;0.0;0.0;-14.3188;12.8169;
0.44;0.0;0.0;0.0;-14.3188;12.8169;
0.495;0.0;0.0;0.0;-14.3188;12.8169;
0.55;0.0;0.0;0.0506428;-14.3188;12.8169;
0.605;0.0;0.0;0.459772;-14.2787;12.8169;
0.66;0.00307469;0.0;1.25512;-13.9346;12.8299;
0.715;0.313628;0.0144996;2.39928;-13.675;13.0529;
0.77;1.05786;0.41102;3.87463;-12.7981;13.6713;
0.825;2.19664;1.2563;5.61362;-11.3534;15.0683;
0.88;3.70987;2.49957;7.69168;-9.59855;17.2317;
0.935;5.58396;4.13864;10.1384;-7.6839;19.5932;
0.99;7.80875;6.15379;12.7663;-5.52295;21.8294;
1.045;10.3761;8.52185;15.6798;-2.99262;24.9195;
1.1;13.2793;11.3162;19.0004;-0.172443;27.9404;
1.155;16.5127;14.4212;22.4579;2.70711;31.4693;
1.21;20.0712;17.8585;26.2827;6.01042;35.8421;
1.265;23.9505;21.6295;30.4313;9.82707;40.5355;
1.32;28.1467;25.7361;34.8604;13.94;45.5461;
1.375;32.6563;30.1859;39.5671;18.3464;50.7413;
1.43;37.476;34.9305;44.549;23.0436;55.9206;
1.485;42.6028;39.9721;49.7732;28.0293;61.3801;
1.54;48.0341;45.3339;55.2664;33.3012;67.2394;
1.595;53.7674;51.0054;61.1224;38.8135;73.5058;
1.65;59.8002;56.9707;67.251;44.3843;80.371;
1.705;66.1304;63.1973;73.6586;50.2071;87.276;
1.76;72.756;69.7183;80.3332;56.6802;94.0572;
1.815;79.6748;76.539;87.2729;63.8067;101.596;
1.87;86.8852;83.7364;94.488;70.8366;109.43;
1.925;94.3854;91.0731;102.008;77.6635;117.559;
1.98;102.174;98.6174;110.029;85.3914;126.052;
2.035;110.248;106.596;118.177;93.3263;135.215;
2.09;118.608;114.716;126.684;100.797;144.691;
2.145;127.252;123.25;135.686;108.496;154.104;
2.2;136.177;131.856;144.996;116.741;163.702;
2.255;145.384;140.733;154.44;124.993;173.315;
2.31;154.87;149.848;164.161;133.223;183.765;
2.365;164.634;159.151;174.16;142.022;194.408;
2.42;174.676;168.987;184.322;150.584;205.236;
2.475;184.993;178.74;194.985;159.519;216.186;
2.53;195.586;188.272;205.821;169.573;227.465;
2.585;206.453;198.643;216.918;179.939;239.256;
2.64;217.592;208.667;228.051;190.302;251.523;
2.695;229.003;218.919;239.807;199.588;263.833;
2.75;240.686;229.437;251.852;209.074;276.437;
2.805;252.638;240.659;264.345;220.505;289.334;
2.86;264.859;252.015;277.035;230.966;302.522;
2.915;277.349;263.707;290.009;241.455;316.001;
2.97;290.106;275.458;303.28;252.915;329.769;
3.025;303.129;287.594;316.826;264.748;343.827;
3.08;316.418;299.635;330.684;276.814;358.546;
3.135;329.972;311.769;344.739;289.113;373.278;
3.19;343.79;324.2;359.135;301.644;387.85;
3.245;357.872;336.978;374.113;314.406;402.934;
3.3;372.216;349.961;389.238;327.017;418.426;
3.355;386.822;362.778;404.627;340.448;434.202;
3.41;401.69;376.055;419.922;354.035;450.262;
3.465;416.818;389.76;435.905;367.143;466.605;
3.52;432.205;403.697;452.165;380.467;483.231;
3.575;447.853;417.84;468.702;394.005;500.139;
3.63;463.758;431.998;485.514;407.758;517.328;
3.685;479.922;446.369;502.601;421.724;534.607;
3.74;496.343;460.951;519.657;435.903;551.958;
3.795;513.021;475.743;537.243;450.294;569.568;
3.85;529.955;490.694;555.361;464.898;587.438;
3.905;547.145;505.767;573.687;479.713;605.566;
3.96;564.589;521.05;592.139;494.738;623.953;
4.015;582.289;536.542;610.863;509.92;642.596;
4.07;600.242;552.243;629.857;525.42;661.561;
4.125;618.448;568.152;648.927;541.076;681.503;
4.18;636.908;584.461;668.239;556.94;701.357;
4.235;655.619;601.093;687.772;573.012;721.655;
4.29;674.583;617.895;707.66;588.876;742.345;
4.345;693.798;634.393;727.769;604.645;763.311;
4.4;713.264;651.087;748.187;620.602;784.551;
4.455;732.98;668.437;769.052;637.434;806.065;
4.51;752.946;686.209;790.299;654.767;827.061;
4.565;773.162;704.197;811.6;672.31;848.284;
4.62;793.627;722.401;833.264;690.062;869.748;
4.675;814.34;740.549;855.288;708.024;891.453;
4.73;835.301;758.829;877.616;726.194;913.399;
4.785;856.51;777.308;900.037;744.572;935.585;
4.84;877.966;795.988;922.718;763.158;958.01;
4.895;899.669;815.21;945.659;781.951;980.673;
4.95;921.619;834.777;968.927;800.712;1003.57;
5.005;943.814;854.562;992.32;819.656;1027.06;
5.06;966.255;874.563;1016.04;838.802;1051.14;
5.115;988.941;894.78;1040.02;858.149;1075.49;
5.17;1011.87;915.213;1064.25;877.698;1100.09;
5.225;1035.05;935.715;1088.74;897.448;1124.95;
5.28;1058.47;956.166;1113.49;917.398;1150.07;
5.335;1082.13;976.824;1138.5;937.549;1175.45;
5.39;1106.04;997.687;1163.76;957.9;1201.09;
5.445;1130.19;1018.76;1189.27;978.45;1227.12;
5.5;1154.58;1040.03;1215.04;999.2;1253.95;
