H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-5.94311;5.22757;
0.05;0.0;0.0;0.0;-5.94311;5.22757;
0.1;0.0;0.0;0.0;-5.94311;5.22757;
0.15;0.0;0.0;0.0;-5.94311;5.22757;
0.2;0.0;0.0;0.0;-5.94311;5.22757;
0.25;0.0;0.0;0.0;-5.94311;5.22757;
0.3;0.0;0.0;0.0;-5.94311;5.22757;
0.35;0.0;0.0;0.159334;-5.94096;5.29993;
0.4;0.20479;0.0;0.859257;-5.64642;5.55195;
0.45;1.00342;0.374908;1.9588;-4.72792;6.60155;
0.5;2.23641;1.38529;3.40714;-3.45728;7.94419;
0.55;3.83847;2.8606;5.13957;-1.87173;9.62137;
0.6;5.77245;4.72446;7.17943;0.00449155;11.5767;
0.65;8.01309;6.88592;9.45603;2.09379;13.8492;
0.7;10.5416;9.33504;11.9949;4.56235;16.4376;
0.75;13.343;12.1273;14.7674;7.16373;19.2467;
0.8;16.4054;15.1425;17.7733;10.0689;22.2858;
0.85;19.7185;18.481;21.0363;13.2421;25.5987;
0.9;23.2737;22.0489;24.52;16.5933;29.1469;
0.95;27.0633;25.7109;28.228;20.1232;32.8792;
1.0;31.0807;29.6381;32.2613;23.945;36.8902;
1.05;35.3199;33.6516;36.4608;27.9353;41.1342;
1.1;39.7756;37.9631;40.903;32.1292;45.7075;
1.15;44.4428;42.187;45.6807;36.3097;50.7102;
1.2;49.3171;46.8101;50.7332;40.7693;55.5699;
1.25;54.3944;51.5583;56.0097;45.7274;60.6947;
1.3;59.6709;56.3557;61.4742;50.8656;66.22;
1.35;65.1432;61.5889;67.3793;56.2597;72.1534;
1.4;70.808;67.3298;74.0065;62.1628;78.9733;
1.45;76.6621;74.1348;81.5819;68.4774;85.8376;
1.5;84.6251;81.2807;89.8332;75.2429;93.8996;
1.55;93.4177;89.1518;98.3526;83.4487;102.959;
1.6;102.57;98.3373;107.449;92.5754;112.056;
1.65;112.077;107.708;116.862;102.11;121.72;
1.7;121.934;117.539;126.645;111.545;131.838;
1.75;132.135;127.789;136.835;120.995;142.071;
1.8;142.676;137.862;147.344;130.572;152.828;
1.85;153.552;148.259;158.123;140.772;163.683;
1.9;164.76;159.037;169.63;151.119;175.249;
1.95;176.296;170.155;181.136;161.872;187.161;
2.0;188.156;181.56;193.265;173.041;199.495;
2.05;200.337;193.056;205.87;183.958;212.234;
2.1;212.835;205.001;219.142;195.493;225.225;
2.15;225.647;217.053;232.424;207.319;238.543;
2.2;238.771;229.066;246.312;219.146;252.423;
2.25;252.203;241.663;260.406;231.517;266.264;
2.3;265.941;254.54;274.526;244.345;280.428;
2.35;279.981;267.345;289.416;257.067;295.261;
2.4;294.322;280.407;304.414;269.768;310.599;
2.45;308.96;293.705;319.551;282.723;325.885;
2.5;323.895;307.23;335.182;296.329;341.471;
2.55;339.122;321.093;351.276;310.283;357.355;
2.6;354.64;335.246;367.512;324.637;373.534;
2.65;370.447;349.552;384.245;339.186;390.127;
2.7;386.542;364.143;401.221;353.995;407.279;
2.75;402.92;378.973;418.408;368.853;424.896;
2.8;419.582;394.04;435.901;384.265;442.829;
2.85;436.525;409.223;453.699;399.581;461.076;
2.9;453.746;424.559;471.801;415.138;479.39;
2.95;471.245;440.253;490.205;430.934;497.691;
3.0;489.02;456.299;509.007;446.644;516.538;
3.05;507.069;472.856;528.38;462.566;535.279;
3.1;525.39;489.218;547.546;478.716;554.867;
3.15;543.982;505.869;566.97;495.091;574.47;
3.2;562.842;522.88;586.725;511.694;594.767;
3.25;581.971;540.02;607.278;528.52;615.517;
3.3;601.366;557.364;628.222;545.569;636.575;
3.35;621.025;574.878;649.532;562.84;657.888;
3.4;640.948;592.711;670.737;580.487;679.588;
3.45;661.133;610.71;692.485;598.669;701.033;
3.5;681.579;628.925;714.528;617.07;723.144;
3.55;702.284;647.354;736.865;635.463;745.581;
3.6;723.247;665.997;759.494;653.611;768.312;
3.65;744.467;684.851;782.415;671.961;790.926;
3.7;765.942;703.917;805.626;690.513;813.783;
3.75;787.672;723.192;829.125;709.266;836.912;
3.8;809.655;742.676;852.911;728.914;860.908;
3.85;831.89;762.367;876.984;748.966;885.216;
3.9;854.377;782.265;901.342;768.99;909.809;
3.95;877.113;802.368;925.984;788.575;934.688;
4.0;900.098;822.676;950.908;808.356;959.85;
4.05;923.33;843.187;976.114;828.332;985.294;
4.1;946.809;863.901;1001.6;848.503;1011.02;
4.15;970.534;884.816;1027.17;868.867;1037.04;
4.2;994.504;905.931;1053.01;889.424;1063.5;
4.25;1018.72;927.236;1079.11;910.39;1089.88;
4.3;1043.17;948.739;1105.48;931.674;1116.53;
4.35;1067.87;970.445;1132.2;953.16;1143.45;
4.4;1092.81;992.353;1159.34;974.847;1170.65;
4.45;1117.99;1014.46;1186.75;996.735;1198.12;
4.5;1143.41;1036.77;1214.44;1018.82;1225.86;
4.55;1169.06;1059.28;1241.94;1041.11;1253.87;
4.6;1194.96;1081.99;1269.7;1063.59;1282.15;
4.65;1221.08;1104.9;1297.72;1086.28;1310.7;
4.7;1247.45;1128.0;1325.98;1109.15;1339.51;
4.75;1274.05;1151.3;1354.5;1132.23;1368.59;
4.8;1300.88;1174.8;1383.42;1155.5;1397.94;
4.85;1327.95;1198.49;1412.62;1178.96;1427.36;
4.9;1355.25;1222.38;1442.07;1202.62;1457.03;
4.95;1382.78;1246.46;1471.77;1226.47;1486.96;
5.0;1410.54;1270.73;1501.72;1250.52;1517.14;
