H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
1.0;0.0;0.0;0.0;-0.42704;0.496065;
1.02;0.0;0.0;0.0203706;-0.42704;0.496065;
1.04;0.0;0.0;0.0819632;-0.423525;0.496065;
1.06;0.0010098;0.0;0.179278;-0.404104;0.553154;
1.08;0.0471611;0.0;0.301433;-0.379525;0.640863;
1.1;0.13807;0.0;0.447327;-0.358597;0.770258;
1.12;0.264243;0.0;0.617299;-0.342703;0.923036;
1.14;0.421354;0.0214791;0.808228;-0.257244;1.09806;
1.16;0.606676;0.120195;1.01905;-0.159525;1.30636;
1.18;0.818258;0.268537;1.24884;-0.00311754;1.53848;
1.2;1.05461;0.463901;1.49682;0.195205;1.77557;
1.22;1.31452;0.696663;1.76232;0.42059;2.04698;
1.24;1.59702;0.960306;2.04827;0.686448;2.33725;
1.26;1.90125;1.25515;2.34697;0.987554;2.6459;
1.28;2.22649;1.58085;2.66785;1.32342;2.96375;
1.3;2.57211;1.94877;3.00032;1.68912;3.2894;
1.32;2.93753;2.33689;3.34955;2.06521;3.65623;
1.34;3.32226;2.75575;3.71001;2.47897;4.04667;
1.36;3.72584;3.19845;4.09915;2.89051;4.45117;
1.38;4.14785;3.66722;4.50034;3.33985;4.86235;
1.4;4.58791;4.16346;4.91385;3.81263;5.30526;
1.42;5.04567;4.69198;5.35739;4.3258;5.77661;
1.44;5.52081;5.23853;5.82297;4.8411;6.25453;
1.46;6.01302;5.79497;6.29062;5.40792;6.76095;
1.48;6.52203;6.33225;6.80304;5.93397;7.27232;
1.5;7.04757;6.8441;7.39086;6.46836;7.8205;
1.52;7.58939;7.35824;8.02092;7.02728;8.46396;
1.54;8.14725;7.87266;8.65273;7.56274;9.02164;
1.56;8.72096;8.39917;9.32669;8.07418;9.66126;
1.58;9.31028;8.92418;10.026;8.59633;10.3249;
1.6;9.91503;9.49454;10.753;9.15993;11.0224;
1.62;10.535;10.0783;11.5123;9.7424;11.7382;
1.64;11.1701;10.6971;12.2949;10.3947;12.5129;
1.66;11.82;11.459;13.0942;11.2045;13.3318;
1.68;12.8198;12.4026;13.9141;12.1622;14.3297;
1.7;13.9496;13.4712;14.8347;13.1799;15.2984;
1.72;15.1167;14.5483;15.8568;14.2016;16.3685;
1.74;16.3204;15.6446;17.0347;15.2151;17.5772;
1.76;17.5602;16.7936;18.2779;16.3532;18.8762;
1.78;18.8354;18.0654;19.5541;17.616;20.1433;
1.8;20.1455;19.2613;20.8806;18.9015;21.4376;
1.82;21.4901;20.612;22.2228;20.2457;22.8281;
1.84;22.8687;22.0337;23.6373;21.7122;24.2443;
1.86;24.2808;23.5518;25.1139;23.1663;25.7314;
1.88;25.726;25.0394;26.6395;24.6263;27.2655;
1.9;27.2039;26.5261;28.2187;26.0465;28.8371;
1.92;28.7141;28.1026;29.798;27.6006;30.4679;
1.94;30.2562;29.6473;31.4356;29.1414;32.1407;
1.96;31.83;31.2448;33.0823;30.6531;33.8307;
1.98;33.435;32.8151;34.752;32.2393;35.6325;
2.0;35.0709;34.4308;36.4938;33.8394;37.4568;
2.02;36.7374;36.0487;38.2762;35.4212;39.2857;
2.04;38.4343;37.6818;40.0879;37.064;41.0977;
2.06;40.1612;39.3582;41.9288;38.7416;42.9286;
2.08;41.9178;41.0087;43.8054;40.4234;44.7917;
2.1;43.7039;42.7995;45.7374;42.1343;46.7392;
2.12;45.5192;44.5448;47.7137;43.8742;48.7067;
2.14;47.3635;46.3301;49.7494;45.6429;50.6705;
2.16;49.2365;48.1482;51.8246;47.4401;52.7399;
2.18;51.138;50.0278;53.9203;49.2657;54.9074;
2.2;53.0677;51.8916;56.0489;51.1194;57.1383;
2.22;55.0255;53.7583;58.2096;53.0012;59.3696;
2.24;57.0111;55.6518;60.4212;54.9092;61.6351;
2.26;59.0244;57.5719;62.6523;56.8609;63.9289;
2.28;61.065;59.5188;64.9151;58.8126;66.2455;
2.3;63.1328;61.4946;67.213;60.8045;68.508;
2.32;65.2277;63.4964;69.5561;62.8236;70.8397;
2.34;67.3494;65.5243;71.9306;64.8697;73.2528;
2.36;69.4977;67.578;74.3363;66.9425;75.6206;
2.38;71.6725;69.6574;76.7954;69.0035;78.0872;
2.4;73.8737;71.7623;79.2597;71.0875;80.6729;
2.42;76.1009;73.8926;81.7879;73.196;83.22;
2.44;78.3541;76.0481;84.2811;75.3288;85.7872;
2.46;80.6332;78.2288;86.8984;77.4857;88.3021;
2.48;82.9378;80.4345;89.4754;79.7104;90.8459;
2.5;85.268;82.665;92.1377;81.9597;93.4184;
2.52;87.6235;84.9202;94.8319;84.188;96.0195;
2.54;90.0043;87.1959;97.5579;86.4195;98.649;
2.56;92.4101;89.4953;100.315;88.6758;101.307;
2.58;94.8408;91.819;103.104;91.0162;104.04;
2.6;97.2963;94.167;105.885;93.3813;106.807;
2.62;99.7764;96.5492;108.647;95.7709;109.604;
2.64;102.281;98.9643;111.437;98.185;112.43;
2.66;104.81;101.389;114.315;100.623;115.286;
2.68;107.363;103.838;117.238;103.052;118.171;
2.7;109.941;106.308;120.191;105.479;121.12;
2.72;112.542;108.785;123.172;107.928;124.15;
2.74;115.168;111.284;126.15;110.4;127.21;
2.76;117.817;113.813;129.162;112.899;130.3;
2.78;120.49;116.378;132.259;115.469;133.42;
2.8;123.186;118.966;135.34;118.062;136.569;
2.82;125.906;121.577;138.441;120.678;139.748;
2.84;128.649;124.211;141.57;123.318;142.956;
2.86;131.415;126.868;144.726;125.981;146.193;
2.88;134.205;129.548;147.91;128.667;149.453;
2.9;137.017;132.251;151.122;131.376;152.647;
2.92;139.853;134.976;154.361;134.108;155.892;
2.94;142.711;137.724;157.627;136.862;159.266;
2.96;145.592;140.495;160.92;139.639;162.571;
2.98;148.495;143.288;164.24;142.44;165.903;
3.0;151.421;146.085;167.588;145.263;169.262;
