H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-0.439623;0.366434;
0.035;1.99143E-5;0.0;0.00758979;-0.439623;0.367954;
0.07;0.0342556;0.0255774;0.0616067;-0.41323;0.419952;
0.105;0.109756;0.094868;0.153786;-0.352056;0.510762;
0.14;0.21746;0.193782;0.279419;-0.265201;0.655007;
0.175;0.353499;0.321167;0.434112;-0.167156;0.817796;
0.21;0.515458;0.469473;0.616566;-0.0325775;1.01252;
0.245;0.701617;0.637683;0.821814;0.110454;1.25604;
0.28;0.910662;0.832617;1.04813;0.232708;1.50592;
0.315;1.14154;1.04345;1.30061;0.399157;1.78964;
0.35;1.39337;1.27822;1.57383;0.596052;2.1302;
0.385;1.66542;1.52295;1.87176;0.78569;2.4985;
0.42;1.95705;1.78762;2.18816;0.989261;2.88162;
0.455;2.26769;2.06383;2.51633;1.21409;3.25058;
0.49;2.59685;2.35906;2.86714;1.43454;3.69006;
0.525;2.94408;2.67028;3.2311;1.68567;4.16382;
0.56;3.30898;2.99486;3.6276;1.94884;4.66037;
0.595;3.69118;3.32499;4.03563;2.22376;5.17919;
0.63;4.09034;3.67305;4.45444;2.51017;5.69752;
0.665;4.50615;4.03928;4.89005;2.80786;6.19921;
0.7;4.93832;4.41917;5.34935;3.10268;6.71932;
0.735;5.38659;4.81271;5.83114;3.43506;7.2575;
0.77;5.8507;5.24568;6.32368;3.76648;7.83108;
0.805;6.33043;5.69883;6.82922;4.10725;8.45227;
0.84;6.82554;6.21561;7.35023;4.44123;9.21678;
0.875;7.33585;6.72733;7.89318;4.78262;9.87236;
0.91;7.86114;7.23729;8.53896;5.17444;10.6051;
0.945;8.40123;7.80151;9.2973;5.55016;11.4865;
0.98;8.95595;8.40372;10.227;5.9632;12.4373;
1.015;9.52513;9.06579;11.3293;6.38986;13.3033;
1.05;10.6146;9.74776;12.5076;7.07557;14.62;
1.085;11.8673;10.4266;13.653;7.71382;16.0489;
1.12;13.175;11.3531;14.8655;8.59636;17.5908;
1.155;14.5363;12.2615;16.1735;9.4694;19.3408;
1.19;15.9504;13.5711;17.5567;10.4148;21.223;
1.225;17.4161;15.0806;18.9409;11.4904;22.8489;
1.26;18.9326;16.6016;20.4404;12.6434;24.545;
1.295;20.499;18.1814;21.934;13.7462;26.4705;
1.33;22.1145;19.8838;23.5891;15.0365;28.2987;
1.365;23.7783;21.5175;25.2403;16.3065;30.5733;
1.4;25.4897;23.2124;27.0378;17.4742;32.9179;
1.435;27.248;24.8894;28.8601;18.6746;34.9611;
1.47;29.0527;26.6312;30.7418;19.9071;37.3649;
1.505;30.9031;28.3994;32.6301;21.1715;39.5637;
1.54;32.7986;30.2029;34.7211;22.4782;41.6727;
1.575;34.7386;31.9058;36.8504;23.8746;43.9962;
1.61;36.7228;33.6771;38.9841;25.2677;46.3336;
1.645;38.7504;35.5198;41.1657;26.5408;48.9069;
1.68;40.8212;37.3859;43.4502;27.9594;51.5695;
1.715;42.9346;39.2597;45.8444;29.4079;54.2857;
1.75;45.0901;41.1402;48.2852;30.8891;57.0266;
1.785;47.2874;43.0548;50.7558;32.4408;59.7927;
1.82;49.5261;44.9898;53.1919;33.9329;62.6294;
