H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
22.0;0.0;0.0;0.0;-9.74029;8.85345;
22.05;0.0;0.0;0.0;-9.74029;8.85345;
22.1;0.0;0.0;0.0;-9.74029;8.85345;
22.15;0.0;0.0;0.0;-9.74029;8.85345;
22.2;0.0;0.0;0.0;-9.74029;8.85345;
22.25;0.0;0.0;0.0;-9.74029;8.85345;
22.3;0.0;0.0;0.0;-9.74029;8.85345;
22.35;0.0;0.0;0.0477702;-9.74029;8.85345;
22.4;0.0;0.0;0.247093;-9.72613;8.85345;
22.45;0.0;0.0;0.561491;-9.59146;8.85345;
22.5;0.165789;0.0;1.01281;-9.40609;9.02158;
22.55;0.536858;0.0;1.53132;-9.17636;9.52437;
22.6;1.06291;0.0;2.16465;-9.06504;10.1022;
22.65;1.72366;0.157808;2.97811;-8.59863;11.1374;
22.7;2.50663;0.580004;3.91077;-8.47308;12.2746;
22.75;3.40302;1.19918;4.97572;-8.19133;13.5095;
22.8;4.40617;1.9491;6.09309;-7.47042;14.8383;
22.85;5.51073;2.83794;7.3563;-6.68444;16.2581;
22.9;6.71232;3.84724;8.74469;-6.08453;17.9325;
22.95;8.00723;5.15085;10.267;-5.50362;20.1156;
23.0;9.39226;6.398;11.8901;-4.88502;22.3851;
23.05;11.0357;8.13087;13.8695;-4.04405;25.2916;
23.1;14.3282;10.2895;17.0358;-2.52284;28.9926;
23.15;17.9666;12.4871;20.9443;-0.697515;33.4612;
23.2;21.9371;14.8904;25.1678;0.422073;38.5069;
23.25;26.2284;17.7751;29.6992;2.38466;43.9588;
23.3;30.8304;21.4576;34.7367;4.42286;51.4281;
23.35;35.7343;25.687;40.2322;6.7336;58.338;
23.4;40.9325;30.3286;45.9883;9.11116;66.521;
23.45;46.4178;35.2347;52.1777;11.4873;74.4385;
23.5;52.1841;40.4431;58.7974;14.0185;83.0233;
23.55;58.2254;45.9468;65.4101;16.7629;92.0633;
23.6;64.5367;51.6507;72.5772;19.6825;100.975;
23.65;71.113;57.5621;79.5942;22.7344;110.262;
23.7;77.9497;63.7858;87.5738;25.916;119.918;
23.75;85.0428;70.1917;95.441;29.2251;130.261;
23.8;92.3883;76.902;103.655;32.5809;141.976;
23.85;99.9825;83.8711;112.313;36.034;154.108;
23.9;107.822;90.8216;121.165;39.5959;166.373;
23.95;115.904;98.2771;130.28;43.265;178.362;
24.0;124.224;105.681;139.825;46.6851;190.486;
24.05;132.781;113.091;149.512;50.1757;202.961;
24.1;141.571;120.881;159.464;53.7628;215.784;
24.15;150.591;128.58;169.979;57.4455;229.436;
24.2;159.84;136.626;180.621;61.2228;243.885;
24.25;169.315;144.834;191.589;65.0937;258.506;
24.3;179.013;153.075;202.789;69.0573;274.017;
24.35;188.932;161.94;214.126;73.1128;289.903;
24.4;199.071;170.79;225.583;77.2594;306.163;
24.45;209.427;179.596;237.624;81.4962;322.791;
24.5;219.998;188.26;250.238;85.8224;339.785;
24.55;230.782;197.284;262.752;90.2375;356.432;
24.6;241.778;207.357;275.523;94.7405;372.801;
24.65;252.984;217.631;288.548;99.331;389.467;
24.7;264.399;227.625;301.922;104.008;406.429;
24.75;276.019;237.739;315.619;108.771;423.685;
24.8;287.845;248.032;329.564;113.62;441.231;
24.85;299.875;258.502;343.787;118.652;459.066;
24.9;312.106;269.147;358.326;123.849;477.187;
24.95;324.538;280.29;373.007;129.133;495.592;
25.0;337.169;291.396;387.793;134.504;514.279;
25.05;349.999;302.352;402.954;139.96;533.246;
25.1;363.025;313.472;418.352;145.502;552.491;
25.15;376.246;324.96;433.986;151.129;572.373;
25.2;389.661;336.898;449.855;156.84;592.867;
25.25;403.269;349.112;465.958;162.634;613.659;
25.3;417.069;361.503;482.292;168.513;634.748;
25.35;431.06;374.072;498.856;174.474;656.132;
25.4;445.24;386.816;515.649;180.517;677.809;
25.45;459.609;399.735;532.67;186.643;699.777;
25.5;474.165;412.827;549.917;192.85;722.035;
25.55;488.907;426.093;567.389;199.138;744.582;
25.6;503.835;439.313;585.085;205.507;767.415;
25.65;518.947;452.185;603.003;211.956;790.533;
25.7;534.243;465.206;621.143;218.485;813.934;
25.75;549.721;478.292;639.502;225.093;837.618;
25.8;565.38;491.406;658.081;231.781;861.583;
25.85;581.22;504.658;677.085;238.547;885.827;
25.9;597.24;518.048;696.262;245.392;910.754;
25.95;613.439;531.576;715.178;252.315;936.105;
26.0;629.816;545.427;734.563;259.315;961.752;
26.05;646.37;559.809;754.22;266.393;987.694;
26.1;663.101;574.343;774.09;273.547;1013.93;
26.15;680.007;589.019;794.171;280.779;1040.46;
26.2;697.088;603.497;814.463;288.086;1067.27;
26.25;714.344;618.118;834.965;295.47;1094.67;
26.3;731.772;632.88;855.676;302.929;1122.41;
26.35;749.374;647.783;876.51;310.464;1150.43;
26.4;767.147;662.825;897.392;318.073;1178.75;
26.45;785.091;678.007;918.578;325.758;1207.35;
26.5;803.206;693.328;940.578;333.517;1236.24;
26.55;821.49;708.786;962.328;341.35;1265.42;
26.6;839.944;724.383;984.272;349.257;1294.88;
26.65;858.566;740.116;1006.42;357.238;1324.62;
26.7;877.356;755.986;1028.77;365.292;1354.65;
26.75;896.314;771.992;1051.32;373.419;1384.95;
26.8;915.437;788.133;1074.07;381.619;1415.54;
26.85;934.727;804.409;1097.02;389.892;1446.4;
26.9;954.182;820.819;1120.17;398.237;1477.54;
26.95;973.802;837.363;1143.52;406.654;1508.96;
27.0;993.585;854.04;1167.06;415.143;1540.65;
