,date,RP_flows
0,1974-09-25,1824.1377519027412
1,1975-09-25,1824.1377519027412
2,1976-09-24,1824.1377519027412
3,1977-09-24,1814.0837589591083
4,1978-09-24,1814.0837589591083
5,1979-09-24,1814.0837589591083
6,1980-09-23,1814.0837589591083
7,1981-09-23,1711.7957669753416
8,1982-09-23,1728.2846032532198
9,1983-09-23,1316.1994947705975
10,1984-09-22,1319.8945841786651
11,1985-09-22,
12,1986-09-22,
13,1987-09-22,
14,1988-09-21,
15,1989-09-21,
16,1990-09-21,
17,1991-09-21,
18,1992-09-20,
19,1993-09-20,
20,1994-09-20,
21,1995-09-20,
22,1996-09-19,
23,1997-09-19,
24,1998-09-19,
25,1999-09-19,
26,2000-09-18,
27,2001-09-18,
28,2002-09-18,1277.9180972199235
29,2003-09-18,1302.5126132731284
30,2004-09-17,1325.7906594856902
31,2005-09-17,1310.209127711773
32,2006-09-17,1308.8106990961326
33,2007-09-17,1308.8106990961326
34,2008-09-16,1236.9529198602495
35,2009-09-16,1236.9529198602495
36,2010-09-16,1236.9529198602495
37,2011-09-16,1149.6639716352
38,2012-09-15,1072.961847731725
