,date,RP_flows
0,1992-05-16,114.99501649080662
1,1993-05-16,114.99501649080662
2,1994-05-16,123.4693621746782
3,1995-05-16,121.12211198223744
4,1996-05-15,117.5975076042318
5,1997-05-15,119.52707516169032
6,1998-05-15,121.6021007986636
7,1999-05-15,124.39967455609975
8,2000-05-14,127.67223107709069
9,2001-05-14,
10,2002-05-14,
11,2003-05-14,
12,2004-05-13,
13,2005-05-13,
14,2006-05-13,
15,2007-05-13,
16,2008-05-12,
17,2009-05-12,141.6148064190455
18,2010-05-12,138.10508104353585
19,2011-05-12,140.9228464731679
20,2012-05-11,128.8541815717383
