,date,RP_flows
0,1940-09-07,968.475708614191
1,1941-09-07,968.475708614191
2,1942-09-07,1018.9132011018496
3,1943-09-07,997.8186627942828
4,1944-09-06,997.8186627942828
5,1945-09-06,1043.5996254023717
6,1946-09-06,1051.982147507129
7,1947-09-06,
8,1948-09-05,
9,1949-09-05,
10,1950-09-05,
11,1951-09-05,
12,1952-09-04,
13,1953-09-04,
14,1954-09-04,
15,1955-09-04,
16,1956-09-03,
17,1957-09-03,
18,1958-09-03,
19,1959-09-03,
20,1960-09-02,
21,1961-09-02,
22,1962-09-02,
23,1963-09-02,
24,1964-09-01,
25,1965-09-01,
26,1966-09-01,
27,1967-09-01,
28,1968-08-31,
29,1969-08-31,
30,1970-08-31,
31,1971-08-31,
32,1972-08-30,
33,1973-08-30,
34,1974-08-30,
35,1975-08-30,
36,1976-08-29,
37,1977-08-29,1511.1904614840078
38,1978-08-29,1518.302023399083
39,1979-08-29,1541.0088411505326
40,1980-08-28,1541.0088411505326
41,1981-08-28,1442.3931542886828
42,1982-08-28,1488.7657715917658
43,1983-08-28,1488.7657715917658
44,1984-08-27,1488.7657715917658
45,1985-08-27,1483.635233651307
46,1986-08-27,1526.0313932037252
47,1987-08-27,1548.9710637501914
48,1988-08-26,1526.0313932037252
49,1989-08-26,1516.5102316380337
50,1990-08-26,1526.0313932037252
51,1991-08-26,1552.0493865144665
52,1992-08-25,1594.5642115702574
53,1993-08-25,1594.5642115702574
54,1994-08-25,1651.9773742372738
55,1995-08-25,1854.0833406980264
56,1996-08-24,1552.0493865144665
57,1997-08-24,1660.965704425024
58,1998-08-24,1660.965704425024
59,1999-08-24,1665.070134777391
60,2000-08-23,1665.070134777391
61,2001-08-23,1628.7515104179415
62,2002-08-23,1616.6453022981252
63,2003-08-23,1628.7515104179415
64,2004-08-22,1628.7515104179415
65,2005-08-22,1548.9222014840705
66,2006-08-22,1628.7515104179415
67,2007-08-22,1305.9394592691417
68,2008-08-21,1295.8854663255086
69,2009-08-21,1292.0276740782167
70,2010-08-21,1282.792705785391
71,2011-08-21,1313.1617675535745
72,2012-08-20,1295.8854663255086
