,date,RP_flows
0,1957-11-30,62.29706250240001
1,1958-11-30,62.29706250240001
2,1959-11-30,62.29706250240001
3,1960-11-29,63.07007215344197
4,1961-11-29,
5,1962-11-29,
6,1963-11-29,
7,1964-11-28,
8,1965-11-28,
9,1966-11-28,
10,1967-11-28,
11,1968-11-27,
12,1969-11-27,
13,1970-11-27,
14,1971-11-27,
15,1972-11-26,20.048327387136
16,1973-11-26,20.331495853056005
17,1974-11-26,20.30071262541325
18,1975-11-26,20.548165101589
19,1976-11-25,22.71702148727505
20,1977-11-25,23.9511194547305
21,1978-11-25,24.1210205342825
22,1979-11-25,24.1210205342825
23,1980-11-24,24.36314469667883
24,1981-11-24,24.36314469667883
25,1982-11-24,24.36314469667883
26,1983-11-24,23.9511194547305
27,1984-11-23,23.9511194547305
28,1985-11-23,23.9511194547305
29,1986-11-23,24.1210205342825
30,1987-11-23,21.595492873815083
31,1988-11-22,21.55691495134217
32,1989-11-22,21.55691495134217
33,1990-11-22,21.53885918063109
34,1991-11-22,22.273817466006054
35,1992-11-21,23.75536790963725
36,1993-11-21,23.87642999083542
37,1994-11-21,23.87642999083542
38,1995-11-21,23.945791140951087
39,1996-11-20,23.680678445742167
40,1997-11-20,23.680678445742167
41,1998-11-20,23.680678445742167
42,1999-11-20,23.680678445742167
43,2000-11-19,23.680678445742167
44,2001-11-19,23.101614056970497
45,2002-11-19,22.962496205061253
46,2003-11-19,21.14470356742724
47,2004-11-18,18.547534517760003
48,2005-11-18,18.537273441879087
49,2006-11-18,21.281541180252333
50,2007-11-18,21.281541180252333
51,2008-11-17,21.281541180252333
52,2009-11-17,22.94197405329942
53,2010-11-17,22.94197405329942
54,2011-11-17,23.30022753479241
55,2012-11-16,22.297597102174464
