,RP flows,RP_flows_med
1987-10-21,292.37359541774066,
1988-10-20,293.18853978750184,293.18853978750184
1989-10-20,305.15662728081185,293.18853978750184
1990-10-20,292.37359541774066,292.37359541774066
1991-10-20,292.37359541774066,292.37359541774066
1992-10-19,292.37359541774066,292.37359541774066
1993-10-19,293.14302965529924,293.14302965529924
1994-10-19,305.83364436987875,305.83364436987875
1995-10-19,312.30576930440776,305.83364436987875
1996-10-18,253.96907391346502,287.2308357678116
1997-10-18,287.2308357678116,286.92496205421145
1998-10-18,286.92496205421145,
